,codigoEmenda,ano,tipoEmenda,autor,nomeAutor,numeroEmenda,localidadeDoGasto,funcao,subfuncao,valorEmpenhado,valorLiquidado,valorPago,valorRestoInscrito,valorRestoCancelado,valorRestoPago
38791,201931870009,2019,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0009,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1099190.0,"45.750,00","45.750,00","1.053.440,00","0,00","1.053.440,00"
38839,201832990006,2018,Emenda Individual,MENDONCA FILHO,MENDONCA FILHO,0006,PERNAMBUCO (UF),Comércio e serviços,Turismo,1099997.76,"6.300,00","6.300,00","0,00","540.952,38","552.745,38"
38895,201728850007,2017,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0007,PERNAMBUCO (UF),Saúde,Administração geral,1100000.0,"1.100.000,00","1.100.000,00","0,00","0,00","0,00"
38936,202039310008,2020,Emenda Individual,CARLOS VERAS,CARLOS VERAS,0008,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,1100000.0,"0,00","0,00","1.100.000,00","0,00","1.100.000,00"
38993,202227180006,2022,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0006,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1102529.0,"0,00","0,00","1.767.654,02","0,00","437.403,98"
39119,202227180019,2022,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0019,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1139034.0,"0,00","0,00","1.260.700,91","0,00","1.017.367,09"
39216,201927240006,2019,Emenda Individual,PASTOR EURICO,PASTOR EURICO,0006,PERNAMBUCO (UF),Segurança pública,Defesa civil,1149975.69,"0,00","0,00","1.149.975,69","11.854,50","1.138.121,19"
39223,201727210003,2017,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0003,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,115.0,"0,00","0,00","0,00","13.432,09","1.136.567,91"
39230,201810740004,2018,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0004,PERNAMBUCO (UF),Saúde,Administração geral,1150000.0,"1.150.000,00","1.150.000,00","0,00","0,00","0,00"
39267,202341750018,2023,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0018,PERNAMBUCO (UF),Assistência social,Alimentação e nutrição,1150000.0,"1.150.000,00","1.150.000,00","0,00","0,00","0,00"
39288,202027240007,2020,Emenda Individual,PASTOR EURICO,PASTOR EURICO,0007,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",1155808.72,"51.326,14","51.326,14","1.158.110,30","0,00","1.050.854,86"
39367,201723920005,2017,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0005,PERNAMBUCO (UF),Saúde,Administração geral,1171246.0,"1.171.246,00","1.171.246,00","0,00","0,00","0,00"
39406,201624530004,2016,Emenda Individual,BRUNO ARAUJO,BRUNO ARAUJO,0004,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1180200.0,"769.440,00","769.440,00","0,00","410.760,00","0,00"
39410,201532990004,2015,Emenda Individual,MENDONCA FILHO,MENDONCA FILHO,0004,PERNAMBUCO (UF),Educação,Transferências para a educação básica,1181117.0,"0,00","0,00","0,00","861.197,00","319.920,00"
39434,202216900006,2022,Emenda Individual,RENILDO CALHEIROS,RENILDO CALHEIROS,0006,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1186570.0,"0,00","0,00","1.902.397,84","0,00","470.742,16"
39435,201938080009,2019,Emenda Individual,JARBAS VASCONCELOS,JARBAS VASCONCELOS,0009,PERNAMBUCO (UF),Saúde,Atenção básica,1187048.0,"889.880,00","889.880,00","594.336,00","0,00","0,00"
39442,202371180011,2023,Emenda de Bancada,BANCADA DE PERNAMBUCO,BANCADA DE PERNAMBUCO,0011,PERNAMBUCO (UF),Gestão ambiental,Recursos hídricos,1188157.04,"0,00","0,00","0,00","0,00","0,00"
39447,201624530002,2016,Emenda Individual,BRUNO ARAUJO,BRUNO ARAUJO,0002,PERNAMBUCO (UF),Saúde,Atenção básica,1189320.0,"952.470,00","952.470,00","0,00","0,00","236.850,00"
39498,201527190005,2015,Emenda Individual,DANILO CABRAL,DANILO CABRAL,0005,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,1197651.73,"0,00","0,00","0,00","1.197.651,73","0,00"
39515,201927240004,2019,Emenda Individual,PASTOR EURICO,PASTOR EURICO,0004,PERNAMBUCO (UF),Educação,Educação básica,1198578.56,"0,00","0,00","1.716.433,12","0,00","680.724,00"
39519,201838080012,2018,Emenda Individual,JARBAS VASCONCELOS,JARBAS VASCONCELOS,0012,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1198760.0,"0,00","0,00","0,00","453.657,51","745.102,49"
39523,202012180011,2020,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0011,PERNAMBUCO (UF),Saúde,Atenção básica,1199004.0,"899.629,00","899.629,00","299.375,00","0,00","299.375,00"
39530,202127180012,2021,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0012,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1199581.0,"99.902,00","99.902,00","2.199.358,00","180.829,20","918.849,80"
39547,201910740004,2019,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0004,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1199890.0,"300.000,00","300.000,00","972.817,60","136.751,11","690.211,29"
39554,201810740008,2018,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0008,PERNAMBUCO (UF),Direitos da cidadania,Assistência à criança e ao adolescente,1199948.25,"0,00","0,00","36.887,25","0,00","1.163.061,00"
39572,201910740003,2019,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0003,PERNAMBUCO (UF),Saúde,Atenção básica,1199990.0,"536.990,00","536.990,00","663.000,00","0,00","663.000,00"
39617,202237890004,2022,Emenda Individual,FERNANDO BEZERRA COELHO,FERNANDO BEZERRA COELHO,0004,PERNAMBUCO (UF),Segurança pública,Policiamento,1200000.0,"0,00","0,00","2.400.000,00","0,00","0,00"
39643,202137600010,2021,Emenda Individual,SEBASTIAO OLIVEIRA,SEBASTIAO OLIVEIRA,0010,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,1200000.0,"0,00","0,00","2.404.875,39","0,03","1.195.124,58"
39653,201928840009,2019,Emenda Individual,ARMANDO MONTEIRO,ARMANDO MONTEIRO,0009,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,120.0,"120,00","120,00","0,00","0,00","0,00"
39684,201736860005,2017,Emenda Individual,JOAO FERNANDO COUTINHO,JOAO FERNANDO COUTINHO,0005,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,1200000.0,"0,00","0,00","24.150,00","661.012,17","538.987,83"
39708,201525730008,2015,Emenda Individual,JARBAS VASCONCELOS,JARBAS VASCONCELOS,0008,PERNAMBUCO (UF),Saúde,Atenção básica,1200000.0,"0,00","0,00","251.000,00","0,00","949.000,00"
39713,201712180007,2017,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0007,PERNAMBUCO (UF),Saúde,Saneamento básico urbano,1200000.0,"0,00","0,00","6.464,37","182.302,29","1.011.233,34"
39774,201932990009,2019,Emenda Individual,MENDONCA FILHO,MENDONCA FILHO,0009,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,120.0,"120,00","120,00","0,00","0,00","0,00"
39822,201712180022,2017,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0022,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1203346.0,"0,00","0,00","0,00","294.769,46","908.576,54"
39845,201927240007,2019,Emenda Individual,PASTOR EURICO,PASTOR EURICO,0007,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,121.0,"0,00","0,00","1.318.900,00","0,00","1.155.550,00"
39851,202031870023,2020,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0023,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,1210227.0,"0,00","0,00","1.305.581,00","0,00","1.162.550,00"
39852,201837890006,2018,Emenda Individual,FERNANDO BEZERRA COELHO,FERNANDO BEZERRA COELHO,0006,PERNAMBUCO (UF),Saúde,Atenção básica,1210261.0,"0,00","0,00","547.261,00","0,00","663.000,00"
39863,202239850003,2022,Emenda Individual,FERNANDO RODOLFO,FERNANDO RODOLFO,0003,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1212738.0,"1.212.738,00","1.212.738,00","0,00","0,00","0,00"
39953,201823550001,2018,Emenda Individual,SILVIO COSTA,SILVIO COSTA,0001,PERNAMBUCO (UF),Saúde,Administração geral,1232445.0,"1.232.445,00","1.232.445,00","0,00","0,00","0,00"
39962,201733870008,2017,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0008,PERNAMBUCO (UF),Saúde,Atenção básica,1235824.0,"0,00","0,00","0,00","0,00","1.235.824,00"
40038,201610710011,2016,Emenda Individual,CARLOS EDUARDO CADOCA,CARLOS EDUARDO CADOCA,0011,PERNAMBUCO (UF),Saúde,Atenção básica,1249905.0,"699.940,00","699.940,00","159.972,00","0,00","389.993,00"
40053,201827180010,2018,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0010,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,1249998.7,"4.200,00","4.200,00","- 107.586,71","595.559,18","757.826,23"
40056,201831870008,2018,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0008,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,1249999.07,"8.400,00","8.400,00","528.072,85","672.413,79","41.112,43"
40074,201836860011,2018,Emenda Individual,JOAO FERNANDO COUTINHO,JOAO FERNANDO COUTINHO,0011,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,125.0,"0,00","0,00","100,00","28.281,97","221.718,03"
40112,201932990001,2019,Emenda Individual,MENDONCA FILHO,MENDONCA FILHO,0001,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,1250000.0,"0,00","0,00","1.256.006,02","0,00","1.243.993,98"
40118,201937260003,2019,Emenda Individual,MARINALDO ROSENDO,MARINALDO ROSENDO,0003,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1250000.0,"1.250.000,00","1.250.000,00","0,00","0,00","0,00"
40119,202012180013,2020,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0013,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,1250000.0,"0,00","0,00","1.593.512,00","0,00","958.816,00"
40166,202124570011,2021,Emenda Individual,RAUL HENRY,RAUL HENRY,0011,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1250000.0,"0,00","0,00","2.940.222,92","0,00","809.777,08"
40179,202125730005,2021,Emenda Individual,JARBAS VASCONCELOS,JARBAS VASCONCELOS,0005,PERNAMBUCO (UF),Comércio e serviços,Turismo,125.0,"11.900,00","11.900,00","3.165.725,40","0,00","548.574,60"
40184,201637470002,2016,Emenda Individual,RICARDO TEOBALDO,RICARDO TEOBALDO,0002,PERNAMBUCO (UF),Saúde,Atenção básica,1250885.0,"499.995,00","499.995,00","0,00","0,00","750.890,00"
40201,202033870011,2020,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0011,PERNAMBUCO (UF),Saúde,Atenção básica,1254930.0,"1.200.000,00","1.200.000,00","54.930,00","0,00","54.930,00"
40202,201637470008,2016,Emenda Individual,RICARDO TEOBALDO,RICARDO TEOBALDO,0008,PERNAMBUCO (UF),Comércio e serviços,Turismo,1255000.0,"1.255.000,00","1.255.000,00","0,00","0,00","0,00"
40209,201525730010,2015,Emenda Individual,JARBAS VASCONCELOS,JARBAS VASCONCELOS,0010,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1257500.0,"0,00","0,00","0,00","257.500,00","1.000.000,00"
40226,202012180020,2020,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0020,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1259947.0,"0,00","0,00","1.406.467,92","132.291,43","981.134,65"
40267,201937470006,2019,Emenda Individual,RICARDO TEOBALDO,RICARDO TEOBALDO,0006,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,127.0,"871.439,06","856.639,06","561.680,47","0,00","265.041,41"
40321,201612990012,2016,Emenda Individual,RAUL JUNGMANN,RAUL JUNGMANN,0012,PERNAMBUCO (UF),Saúde,Atenção básica,1281391.0,"422.827,00","422.827,00","398.514,40","0,00","460.049,60"
40337,201931870010,2019,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0010,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1286167.0,"202.000,00","202.000,00","1.084.167,00","0,00","1.084.167,00"
40347,202224570009,2022,Emenda Individual,RAUL HENRY,RAUL HENRY,0009,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,1289274.6,"672.266,07","317.366,07","1.468.295,03","0,00","475.522,03"
40351,201723550014,2017,Emenda Individual,SILVIO COSTA,SILVIO COSTA,0014,PERNAMBUCO (UF),Educação,Educação básica,1289515.08,"0,00","0,00","1.289.515,08","0,00","0,00"
40368,201633870008,2016,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0008,PERNAMBUCO (UF),Comércio e serviços,Turismo,1292435.1,"0,00","0,00","0,00","0,00","1.292.435,10"
40387,202324570007,2023,Emenda Individual,RAUL HENRY,RAUL HENRY,0007,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1297330.0,"0,00","0,00","0,00","0,00","0,00"
40422,202110740013,2021,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0013,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1299945.0,"399.986,00","399.986,00","2.107.080,68","0,00","592.796,32"
40435,201836860004,2018,Emenda Individual,JOAO FERNANDO COUTINHO,JOAO FERNANDO COUTINHO,0004,PERNAMBUCO (UF),Comércio e serviços,Turismo,1299998.58,"3.500,00","3.500,00","0,53","1.182.353,58","114.144,47"
40443,201727180005,2017,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0005,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,1299999.99,"0,00","0,00","7.881,24","195.545,05","1.104.454,94"
40515,201828850005,2018,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0005,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,130.0,"798.220,85","798.220,85","8.792,73","0,00","492.986,42"
40541,201927210008,2019,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0008,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,130.0,"0,00","0,00","130,00","41.149,37","1.258.850,63"
40560,202027190006,2020,Emenda Individual,DANILO CABRAL,DANILO CABRAL,0006,PERNAMBUCO (UF),Assistência social,Assistência comunitária,1300000.0,"900.000,00","900.000,00","400.000,00","0,00","400.000,00"
40582,201628850003,2016,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0003,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1302300.0,"399.000,00","399.000,00","0,00","0,00","903.300,00"
40589,202333870004,2023,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0004,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,1303366.48,"0,00","0,00","0,00","0,00","0,00"
40598,202335390012,2023,Emenda Individual,LUCIANO BIVAR,LUCIANO BIVAR,0012,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,1303367.0,"0,00","0,00","0,00","0,00","0,00"
40671,201710740010,2017,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0010,PERNAMBUCO (UF),Educação,Educação básica,1314029.23,"0,00","0,00","1.314.029,23","0,00","0,00"
40738,202142130008,2021,Emenda Individual,MILTON COELHO,MILTON COELHO,0008,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,1329000.0,"0,00","0,00","3.072.295,00","0,00","914.705,00"
40767,201624530001,2016,Emenda Individual,BRUNO ARAUJO,BRUNO ARAUJO,0001,PERNAMBUCO (UF),Saúde,Atenção básica,1335655.0,"287.570,00","287.570,00","0,00","0,00","1.048.085,00"
40779,201637000007,2016,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0007,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,1338824.3,"0,00","0,00","0,00","0,00","1.338.824,30"
40830,201637000013,2016,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0013,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1349320.0,"0,00","0,00","0,00","35,00","999.320,00"
40836,202041750008,2020,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1349746.0,"0,00","0,00","1.349.746,00","1.054.163,00","295.583,00"
40850,201727180006,2017,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0006,PERNAMBUCO (UF),Saúde,Atenção básica,1349969.0,"0,00","0,00","0,00","0,00","1.349.969,00"
40908,201636860017,2016,Emenda Individual,JOAO FERNANDO COUTINHO,JOAO FERNANDO COUTINHO,0017,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,135.0,"0,00","0,00","0,00","613.904,06","736.095,94"
40948,201728840012,2017,Emenda Individual,ARMANDO MONTEIRO,ARMANDO MONTEIRO,0012,PERNAMBUCO (UF),Saúde,Administração geral,1360749.0,"1.150.000,00","1.150.000,00","0,00","0,00","210.749,00"
40953,201837890005,2018,Emenda Individual,FERNANDO BEZERRA COELHO,FERNANDO BEZERRA COELHO,0005,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1362000.0,"0,00","0,00","0,00","467.705,89","894.294,11"
40970,S/I,2014,Emenda Individual,Sem informação,Sem informação,S/I,PERNAMBUCO (UF),Saúde,Administração geral,1368223.6,"0,00","0,00","0,00","0,00","1.368.223,60"
40978,201823920003,2018,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0003,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,1369998.62,"114.087,62","114.087,62","1.149,34","337.142,86","918.193,47"
41061,201832990003,2018,Emenda Individual,MENDONCA FILHO,MENDONCA FILHO,0003,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1386000.0,"0,00","0,00","0,00","318.420,60","1.067.579,40"
41083,202237600004,2022,Emenda Individual,SEBASTIAO OLIVEIRA,SEBASTIAO OLIVEIRA,0004,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,1390000.0,"840.184,48","405.480,60","1.479.870,41","0,00","489.168,39"
41138,202027190004,2020,Emenda Individual,DANILO CABRAL,DANILO CABRAL,0004,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1399839.0,"207.749,00","207.749,00","1.192.090,00","0,00","1.192.090,00"
41166,202133870008,2021,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1399999.0,"1.399.999,00","1.399.999,00","0,00","0,00","0,00"
41185,201928850001,2019,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0001,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1400000.0,"1.289.200,00","1.289.200,00","110.800,00","0,00","110.800,00"
41210,202230800008,2022,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1400000.0,"1.400.000,00","1.400.000,00","0,00","0,00","0,00"
41224,202033870001,2020,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0001,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,140.0,"16.390,08","16.390,08","4.918.848,10","0,00","284.490,83"
41256,201624560009,2016,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0009,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,1400000.0,"0,00","0,00","0,00","780.000,00","620.000,00"
41354,202341750001,2023,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0001,PERNAMBUCO (UF),Educação,Ensino superior,1420183.15,"67.620,00","67.620,00","0,00","0,00","0,00"
41355,202023920001,2020,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0001,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1420227.0,"1.420.227,00","1.420.227,00","0,00","0,00","0,00"
41356,202023920002,2020,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0002,PERNAMBUCO (UF),Saúde,Atenção básica,1420227.0,"1.420.227,00","1.420.227,00","0,00","0,00","0,00"
41373,S/I,2014,Emenda Individual,Sem informação,Sem informação,S/I,PERNAMBUCO (UF),Educação,Ensino superior,1424170.05,"0,00","0,00","0,00","499.379,00","924.791,05"
41437,201727180010,2017,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0010,PERNAMBUCO (UF),Organização agrária,Extensão rural,144.0,"0,00","0,00","144,00","144,00","0,00"
41441,202012180024,2020,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0024,PERNAMBUCO (UF),Saúde,Atenção básica,144.0,"9,00","9,00","207,00","0,00","63,00"
41454,202027180008,2020,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1442609.0,"649.553,00","649.553,00","855.357,57","500,00","730.254,43"
41462,201710710008,2017,Emenda Individual,CARLOS EDUARDO CADOCA,CARLOS EDUARDO CADOCA,0008,PERNAMBUCO (UF),Cultura,Difusão cultural,1444665.0,"15,00","15,00","0,00","106.150,10","1.188.514,90"
41506,201710710006,2017,Emenda Individual,CARLOS EDUARDO CADOCA,CARLOS EDUARDO CADOCA,0006,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,145.0,"0,00","0,00","118.400,00","7.235,75","1.324.364,25"
41526,201627210004,2016,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0004,PERNAMBUCO (UF),Saúde,Administração geral,1450794.0,"1.450.794,00","1.450.794,00","0,00","0,00","0,00"
41547,201912180005,2019,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0005,PERNAMBUCO (UF),Saúde,Atenção básica,1455680.0,"792.680,00","792.680,00","663.000,00","0,00","663.000,00"
41550,201637000004,2016,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0004,PERNAMBUCO (UF),Saúde,Atenção básica,1455816.0,"0,00","0,00","0,00","0,00","1.455.816,00"
41592,201937670001,2019,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0001,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,1463918.0,"0,00","0,00","3.755.918,00","0,00","699.918,00"
41665,201637000009,2016,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0009,PERNAMBUCO (UF),Comércio e serviços,Turismo,1473224.38,"0,00","0,00","0,00","438.750,00","1.034.474,38"
41680,201524530004,2015,Emenda Individual,BRUNO ARAUJO,BRUNO ARAUJO,0004,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1476915.0,"0,00","0,00","0,00","0,00","1.476.915,00"
41704,202028850002,2020,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0002,PERNAMBUCO (UF),Educação,Educação básica,1483180.36,"0,00","0,00","2.966.213,57","147,15","0,00"
41721,202227180005,2022,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0005,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1486710.0,"1.286.814,00","1.286.814,00","199.896,00","0,00","199.896,00"
41740,202128850010,2021,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0010,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1489993.0,"1.239.993,00","1.239.993,00","500.000,00","0,00","250.000,00"
41763,201927180011,2019,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0011,PERNAMBUCO (UF),Saúde,Atenção básica,1494355.0,"592.655,00","592.655,00","1.140.400,00","0,00","663.000,00"
41827,202128850012,2021,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0012,PERNAMBUCO (UF),Educação,Educação básica,1498211.3,"0,00","0,00","4.494.633,90","0,00","0,00"
41887,201837470005,2018,Emenda Individual,RICARDO TEOBALDO,RICARDO TEOBALDO,0005,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1499850.0,"1.349.850,00","1.349.850,00","0,00","0,00","15,00"
41894,201737000007,2017,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0007,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1499880.0,"0,00","0,00","0,00","0,00","1.499.880,00"
41904,201737820002,2017,Emenda Individual,ZECA CAVALCANTI,ZECA CAVALCANTI,0002,PERNAMBUCO (UF),Saúde,Atenção básica,1499920.0,"0,00","0,00","0,00","0,00","1.499.920,00"
42023,201623920001,2016,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0001,PERNAMBUCO (UF),Saúde,Suporte profilático e terapêutico,150.0,"0,00","0,00","0,00","0,00","150,00"
42028,201737890002,2017,Emenda Individual,FERNANDO BEZERRA COELHO,FERNANDO BEZERRA COELHO,0002,PERNAMBUCO (UF),Saúde,Administração geral,150.0,"150,00","150,00","0,00","0,00","0,00"
42096,201633870009,2016,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0009,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,1500000.0,"0,00","0,00","0,00","118.616,75","1.381.383,25"
42104,201637000005,2016,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0005,PERNAMBUCO (UF),Saúde,Preservação e conservação ambiental,1500000.0,"0,00","0,00","1.200.000,00","0,00","300.000,00"
42114,201527170005,2015,Emenda Individual,ANDERSON FERREIRA,ANDERSON FERREIRA,0005,PERNAMBUCO (UF),Educação,Educação básica,1500000.0,"0,00","0,00","0,00","1.500.000,00","0,00"
42160,201831870004,2018,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0004,PERNAMBUCO (UF),Comércio e serviços,Turismo,150.0,"0,00","0,00","0,00","150,00","0,00"
42165,201823920008,2018,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0008,PERNAMBUCO (UF),Saúde,Administração geral,150.0,"150,00","150,00","0,00","0,00","0,00"
42193,201737000009,2017,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0009,PERNAMBUCO (UF),Saúde,Preservação e conservação ambiental,1500000.0,"0,00","0,00","0,00","1.500.000,00","0,00"
42228,201927180004,2019,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0004,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,150.0,"150,00","150,00","0,00","0,00","0,00"
42236,201737260001,2017,Emenda Individual,MARINALDO ROSENDO,MARINALDO ROSENDO,0001,PERNAMBUCO (UF),Saúde,Saneamento básico urbano,150.0,"0,00","0,00","0,00","150,00","0,00"
42243,201830320004,2018,Emenda Individual,ADALBERTO CAVALCANTI,ADALBERTO CAVALCANTI,0004,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,150.0,"469.049,58","469.049,58","0,00","117,05","1.030.833,37"
